city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details,price_per_sqm,rooms_per_sqm,bath_per_room,luxury_score,city_encoded,front_encoded,property_age_encoded
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي الياسمين ,جنوب,339,9,4,5,3,1,1,1,1,0,0,0,0,0,0,0,1,0,0,120000,"للايجار فيلا درج صاله فقط حي الياسمين
بناء شخصي  ساكنها المالك 
مساحه ٣٣٩م شارع ١٥ م جنوبي
مدخل سيارة غرفة سائق ملحق خارجي مجلس رجال ونساء وصاله طعام مطبخ
الدور الاول 4غرف نوم وصاله السطح غرفة وسطح
موسس بلا كامل
تكييف اسبلت
الايجار دفع واحده
١٢٠ الف
...",353.98230088495575,0.02064896755162242,0.7142857142857143,1.0,2,1,14
الرياض,   حي المونسية ,جنوب,350,0,3,3,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0,65000,فله درج داخلي جديدة مجالس تحت وفوق ٣غرف نوم للاجار بالمونسيه.....خوجا...موقع ممتاز وديكورات جبسيه,185.71428571428572,0.014285714285714285,0.6,1.0,2,1,0
الرياض,   حي السليمانية ,شمال,200,10,4,5,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,90000,"للايجار فيلا بحي السليمانية مساحه 
دبلكس مجلس ومقلط وصاله 
الدور الاول علوي 
٤غرف نوم  وصاله 
السطح غرفه شغاله ومكان غسيل 
عليها ٩٠الف",450.0,0.03,0.8333333333333334,1.0,2,5,1
الرياض,   حي العارض ,شرق,220,0,4,5,1,1,1,0,1,0,1,0,0,1,0,1,1,0,0,85000,"للايجار فيلا دبلكس فاخرة 
الفيلا شغل شخصى ممتاز
موقعها بحى العارض 
مواصفات الفيلا // الارضى 
مجلس رجال + مقلط طعام 
صاله عائلية + مطبخ + مستودع 
وحوش + مغاسل + دورتين مياة 
//// الدور العلوى ////
ثلاث غرف نوم ( غرفه ماستر رئيسيه )
//// السطح /////
غر...",386.3636363636364,0.022727272727272728,1.0,0.7,2,4,0
الرياض,   حي المونسية ,شمال غربي,290,0,7,5,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,90000,"للإيجار فيلا جديده مستخدمه ثلاثة أشهر حي المونسية الغربيه موقع مميز جداً  قريبه من المطار ومن جميع الخدمات على شارعين  مطبخ راكب + فرن + ميكرويف +ثلاجات عدد ٢ +ومكيفات راكبة سبليت جميع الغرف + مكيف دولاب في الصاله  + غسالات اتوماتيك عدد ٣ 


 🔷 أسس ...",310.3448275862069,0.03103448275862069,0.5555555555555556,0.7,2,7,0
الرياض,   حي المرسلات ,غرب,400,other,5,5,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,150000,"عمرها 18 سنة, حالتها ممتازة , شارع 20 , رخام , جبس ,سيراميك ,مكيغات سبيلت , مطبخ , ستائر",375.0,0.015,0.8333333333333334,1.0,2,8,15
الرياض,   حي العقيق ,غرب,375,13,5,5,2,1,1,0,1,0,0,1,0,1,0,0,1,0,0,80000,"فيلا للايجار بالعقيق
مكونه من
مدخل سياره وملحق خارجي وحوش ومجلس رجال ومقلط وصاله ومطبخ بداخله مستودع صغير وغرفه كبار سن
وفوق ٤ غرف نوم وصاله
والسطح غرفه شغاله 
بدون بدون بدون مطبخ ولا مكيفات
الايجار ٨٠الف

و",213.33333333333334,0.018666666666666668,0.7142857142857143,0.7,2,8,3
الرياض,   حي المونسية ,شرق,200,5,7,5,2,1,0,0,1,0,1,0,0,0,0,1,1,0,0,50000,"فيلا للايجار 

حي المونسية

دبلوكس

درج داخلي 

المكيفات سبيلت راكبة

المطبخ راكب

مجلس ومقلط وصالة ومطبخ

الدور الاول 4 غرف و صالة 

السطح 2 غرفة وسطح كبير


الايجار 50000 ريال

0568191192
0501690778
0582920639",250.0,0.045,0.5555555555555556,0.7,2,4,10
الرياض,   حي الرحمانية ,شمال,450,other,7,5,2,1,1,1,1,0,1,0,0,1,0,0,0,0,0,130000,للايجار فله فاخره استعمال نظيف بموقع متميز حي الرحمانيه يتوسط موقعها مابين طريق الملك فهد وطريق التخصصي وطريق العروبه وطريق الملك عبدالله مكيفه بالكامل يوجد غرفة سائق ومدخل سياره وغرفه خادمه الرجاء الاتصال,288.8888888888889,0.02,0.5555555555555556,1.0,2,5,15
الرياض,   حي الرمال ,غرب,360,0,4,4,1,1,1,1,1,0,0,0,0,1,0,0,1,0,1,45000,"فرصة ذهبية
فيلا درج صالة بالرمال الذهبي ممتاذة جدا يوجد صور  تواصل معنا وتس اب",125.0,0.013888888888888888,0.8,1.0,2,8,0
الرياض,   حي القادسية ,غرب,250,0,5,5,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,55000,"ايجار فيلا جديد دبلكس متلاصقه مشب مقلط مجلس رجال صالةغرفة كبارسن مطبخ هذا الارضي اربع غرف نوم ثنين غرفة نوم ماستر صاله كورنر صغير كوفي
الاول غرفة شغاله حمام سطح الثاني
باقي التفاصيل واتس......",220.0,0.028,0.7142857142857143,0.7,2,8,0
الرياض,   حي النرجس ,شرق,270,0,4,5,2,1,1,1,1,1,1,0,0,1,0,0,1,0,0,100000,"للايجار فيلا درج صاله

شغل مودرن تصميم راقي جداً

بحي النرجس

عمرها سنة وحده

المساحه ٢٧٠م شارع ١٥شرقي 

تتكون من....
الدور الارضي استقبال بالكامل

حوش و مدخل سياره 🚐 و غرفة سائق
مجلس رجال و مقلط و صاله ومطبخ راكب
ومكيفات راكب اسبلت

الدور العلوي......",370.3703703703704,0.022222222222222223,0.8333333333333334,1.0,2,4,0
الرياض,   حي طويق ,جنوب غربي,400,0,5,5,2,1,1,0,1,0,0,0,0,1,0,0,1,0,1,40000,فيلا للاجار على دفعتين,100.0,0.0175,0.7142857142857143,0.7,2,3,0
الرياض,   حي الياسمين ,شمال,300,3,4,3,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,110000,"للايجار فيلا دبلكس حي الياسمين
4 غرف نوم تحت مجالس مودرن مفتوحه علي بعض
مطبخ راكب ومكيفات 
غرفه خادمه غرفه غسيل غرفه سواق
مدخل سياره عمرها 3 سنوات
السعر 110 الف
لتواصل ابو زياد 0551613918",366.6666666666667,0.016666666666666666,0.6,1.0,2,5,7
الرياض,   حي النرجس ,غرب,300,0,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,70000,"فله مساحه ٣٠٠ م بحي النرجس شمال سلمان مباشره للايجار .
الارضي مجلس رجال وغرفه طعام وصالتين 
وغرفه خادمه مستقله 
ملحق مستقل بحمام
مطبخ راكب ..
بوفيه 
غرفة ملابس وغساله اوتماتيك .
الدور الاول ٣ غرف بحماماته منها وحده ماستر 
صاله بحمام..مكيفات راكبه اسب...",233.33333333333334,0.02666666666666667,0.625,0.7,2,8,0
الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000,"للايجار فيلا دبلكس في موقع ممتاز جدا بالقرب من كمباوند لبنى العليان والمدرسة العالمية الامريكية. الفيلا مكونة من:



######الدور الأرضي######
حوش امامي وحوش صغير خلفي
مجلس
صاله واسعه
مطبخ راكب (يفتح على الصاله وعلى الحوش)

######الدور الثاني######
٤ ...",320.0,0.024,0.8333333333333334,0.7,2,5,0
الرياض,   حي النزهة ,شمال,300,0,7,5,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,125000,فيلا فاخره جديده في حي النزهه مكونه من مجلس - صاله طعام - صاله - ٤ غرف نوم -  مطبخ جديد - غرفه خادمه - غرفه غسيل ومستودع -غرفه سائق - مدخل سياره - وجميع الغرفه بها مكيفات اسبلت جديده - قريبه جداً من مدارس الرواد العالميه - قريبه من مستشفى الحمادي - ا...,416.6666666666667,0.02666666666666667,0.625,1.0,2,5,0
